"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AGRPNPC","TOT","RT","A","1986",1.11198568,
"AUS","AGRPNPC","TOT","RT","A","1987",1.067420821,
"AUS","AGRPNPC","TOT","RT","A","1988",1.077049405,
"AUS","AGRPNPC","TOT","RT","A","1989",1.071516691,
"AUS","AGRPNPC","TOT","RT","A","1990",1.084205852,
"AUS","AGRPNPC","TOT","RT","A","1991",1.071068622,
"AUS","AGRPNPC","TOT","RT","A","1992",1.076693043,
"AUS","AGRPNPC","TOT","RT","A","1993",1.070676785,
"AUS","AGRPNPC","TOT","RT","A","1994",1.066380834,
"AUS","AGRPNPC","TOT","RT","A","1995",1.031246039,
"AUS","AGRPNPC","TOT","RT","A","1996",1.030705692,
"AUS","AGRPNPC","TOT","RT","A","1997",1.029045779,
"AUS","AGRPNPC","TOT","RT","A","1998",1.032681197,
"AUS","AGRPNPC","TOT","RT","A","1999",1.021132475,
"AUS","AGRPNPC","TOT","RT","A","2000",1,
"AUS","AGRPNPC","TOT","RT","A","2001",1,
"AUS","AGRPNPC","TOT","RT","A","2002",1,
"AUS","AGRPNPC","TOT","RT","A","2003",1,
"AUS","AGRPNPC","TOT","RT","A","2004",1,
"AUS","AGRPNPC","TOT","RT","A","2005",1,
"AUS","AGRPNPC","TOT","RT","A","2006",1,
"AUS","AGRPNPC","TOT","RT","A","2007",1,
"AUS","AGRPNPC","TOT","RT","A","2008",1,
"AUS","AGRPNPC","TOT","RT","A","2009",1,
"AUS","AGRPNPC","TOT","RT","A","2010",1,
"AUS","AGRPNPC","TOT","RT","A","2011",1,
"AUS","AGRPNPC","TOT","RT","A","2012",1,
"AUS","AGRPNPC","TOT","RT","A","2013",1.00000022,
"AUS","AGRPNPC","TOT","RT","A","2014",1,
"AUS","AGRPNPC","TOT","RT","A","2015",1,
"AUS","AGRPNPC","TOT","RT","A","2016",1,
"AUS","AGRPNPC","TOT","RT","A","2017",1,
"AUS","AGRPNPC","TOT","RT","A","2018",1,
"CAN","AGRPNPC","TOT","RT","A","1986",1.405767752,
"CAN","AGRPNPC","TOT","RT","A","1987",1.45400429,
"CAN","AGRPNPC","TOT","RT","A","1988",1.302312647,
"CAN","AGRPNPC","TOT","RT","A","1989",1.263102743,
"CAN","AGRPNPC","TOT","RT","A","1990",1.353275045,
"CAN","AGRPNPC","TOT","RT","A","1991",1.336389188,
"CAN","AGRPNPC","TOT","RT","A","1992",1.275418578,
"CAN","AGRPNPC","TOT","RT","A","1993",1.233700782,
"CAN","AGRPNPC","TOT","RT","A","1994",1.190312898,
"CAN","AGRPNPC","TOT","RT","A","1995",1.113253903,
"CAN","AGRPNPC","TOT","RT","A","1996",1.091709333,
"CAN","AGRPNPC","TOT","RT","A","1997",1.103797595,
"CAN","AGRPNPC","TOT","RT","A","1998",1.115132844,
"CAN","AGRPNPC","TOT","RT","A","1999",1.11554025,
"CAN","AGRPNPC","TOT","RT","A","2000",1.123169434,
"CAN","AGRPNPC","TOT","RT","A","2001",1.077258502,
"CAN","AGRPNPC","TOT","RT","A","2002",1.117676902,
"CAN","AGRPNPC","TOT","RT","A","2003",1.147246299,
"CAN","AGRPNPC","TOT","RT","A","2004",1.106284642,
"CAN","AGRPNPC","TOT","RT","A","2005",1.115301368,
"CAN","AGRPNPC","TOT","RT","A","2006",1.145455911,
"CAN","AGRPNPC","TOT","RT","A","2007",1.087131037,
"CAN","AGRPNPC","TOT","RT","A","2008",1.070360084,
"CAN","AGRPNPC","TOT","RT","A","2009",1.117888197,
"CAN","AGRPNPC","TOT","RT","A","2010",1.115446477,
"CAN","AGRPNPC","TOT","RT","A","2011",1.098946461,
"CAN","AGRPNPC","TOT","RT","A","2012",1.099286275,
"CAN","AGRPNPC","TOT","RT","A","2013",1.07591867,
"CAN","AGRPNPC","TOT","RT","A","2014",1.057544244,
"CAN","AGRPNPC","TOT","RT","A","2015",1.05901332,
"CAN","AGRPNPC","TOT","RT","A","2016",1.071430396,
"CAN","AGRPNPC","TOT","RT","A","2017",1.060277669,
"CAN","AGRPNPC","TOT","RT","A","2018",1.052355187,
"ISL","AGRPNPC","TOT","RT","A","1986",3.947821317,
"ISL","AGRPNPC","TOT","RT","A","1987",4.920821164,
"ISL","AGRPNPC","TOT","RT","A","1988",3.779198689,
"ISL","AGRPNPC","TOT","RT","A","1989",3.257056872,
"ISL","AGRPNPC","TOT","RT","A","1990",3.431778175,
"ISL","AGRPNPC","TOT","RT","A","1991",4.249815034,
"ISL","AGRPNPC","TOT","RT","A","1992",3.41780259,
"ISL","AGRPNPC","TOT","RT","A","1993",3.012789659,
"ISL","AGRPNPC","TOT","RT","A","1994",2.534601164,
"ISL","AGRPNPC","TOT","RT","A","1995",2.248703167,
"ISL","AGRPNPC","TOT","RT","A","1996",2.263728218,
"ISL","AGRPNPC","TOT","RT","A","1997",2.282659566,
"ISL","AGRPNPC","TOT","RT","A","1998",2.882556301,
"ISL","AGRPNPC","TOT","RT","A","1999",2.867713475,
"ISL","AGRPNPC","TOT","RT","A","2000",2.63690255,
"ISL","AGRPNPC","TOT","RT","A","2001",2.186293937,
"ISL","AGRPNPC","TOT","RT","A","2002",2.538079441,
"ISL","AGRPNPC","TOT","RT","A","2003",2.428883833,
"ISL","AGRPNPC","TOT","RT","A","2004",2.593174508,
"ISL","AGRPNPC","TOT","RT","A","2005",2.71932749,
"ISL","AGRPNPC","TOT","RT","A","2006",2.444168671,
"ISL","AGRPNPC","TOT","RT","A","2007",1.905332463,
"ISL","AGRPNPC","TOT","RT","A","2008",1.741946577,
"ISL","AGRPNPC","TOT","RT","A","2009",1.678538559,
"ISL","AGRPNPC","TOT","RT","A","2010",1.553240155,
"ISL","AGRPNPC","TOT","RT","A","2011",1.559665926,
"ISL","AGRPNPC","TOT","RT","A","2012",1.595616625,
"ISL","AGRPNPC","TOT","RT","A","2013",1.48973414,
"ISL","AGRPNPC","TOT","RT","A","2014",1.771251142,
"ISL","AGRPNPC","TOT","RT","A","2015",2.043180244,
"ISL","AGRPNPC","TOT","RT","A","2016",2.178657661,
"ISL","AGRPNPC","TOT","RT","A","2017",2.080163764,
"ISL","AGRPNPC","TOT","RT","A","2018",2.050211042,
"JPN","AGRPNPC","TOT","RT","A","1986",2.692251131,
"JPN","AGRPNPC","TOT","RT","A","1987",2.64318454,
"JPN","AGRPNPC","TOT","RT","A","1988",2.486107276,
"JPN","AGRPNPC","TOT","RT","A","1989",2.18783199,
"JPN","AGRPNPC","TOT","RT","A","1990",1.980446875,
"JPN","AGRPNPC","TOT","RT","A","1991",1.959033883,
"JPN","AGRPNPC","TOT","RT","A","1992",2.219034359,
"JPN","AGRPNPC","TOT","RT","A","1993",2.198770354,
"JPN","AGRPNPC","TOT","RT","A","1994",2.481839814,
"JPN","AGRPNPC","TOT","RT","A","1995",2.461412585,
"JPN","AGRPNPC","TOT","RT","A","1996",2.201247723,
"JPN","AGRPNPC","TOT","RT","A","1997",2.014916428,
"JPN","AGRPNPC","TOT","RT","A","1998",2.171862617,
"JPN","AGRPNPC","TOT","RT","A","1999",2.31481339,
"JPN","AGRPNPC","TOT","RT","A","2000",2.300342196,
"JPN","AGRPNPC","TOT","RT","A","2001",2.134962495,
"JPN","AGRPNPC","TOT","RT","A","2002",2.162965947,
"JPN","AGRPNPC","TOT","RT","A","2003",2.183273877,
"JPN","AGRPNPC","TOT","RT","A","2004",2.057521055,
"JPN","AGRPNPC","TOT","RT","A","2005",2.012553923,
"JPN","AGRPNPC","TOT","RT","A","2006",1.922421118,
"JPN","AGRPNPC","TOT","RT","A","2007",1.750381575,
"JPN","AGRPNPC","TOT","RT","A","2008",1.778034365,
"JPN","AGRPNPC","TOT","RT","A","2009",1.777727271,
"JPN","AGRPNPC","TOT","RT","A","2010",1.918291861,
"JPN","AGRPNPC","TOT","RT","A","2011",1.774875054,
"JPN","AGRPNPC","TOT","RT","A","2012",1.988513467,
"JPN","AGRPNPC","TOT","RT","A","2013",1.849908778,
"JPN","AGRPNPC","TOT","RT","A","2014",1.738805044,
"JPN","AGRPNPC","TOT","RT","A","2015",1.59788078,
"JPN","AGRPNPC","TOT","RT","A","2016",1.75119194,
"JPN","AGRPNPC","TOT","RT","A","2017",1.793494199,
"JPN","AGRPNPC","TOT","RT","A","2018",1.793593777,
"KOR","AGRPNPC","TOT","RT","A","1986",2.872954451,
"KOR","AGRPNPC","TOT","RT","A","1987",3.178611579,
"KOR","AGRPNPC","TOT","RT","A","1988",4.089383149,
"KOR","AGRPNPC","TOT","RT","A","1989",4.018170926,
"KOR","AGRPNPC","TOT","RT","A","1990",3.784589637,
"KOR","AGRPNPC","TOT","RT","A","1991",3.748628452,
"KOR","AGRPNPC","TOT","RT","A","1992",3.508858105,
"KOR","AGRPNPC","TOT","RT","A","1993",3.52706498,
"KOR","AGRPNPC","TOT","RT","A","1994",3.557864321,
"KOR","AGRPNPC","TOT","RT","A","1995",3.531313402,
"KOR","AGRPNPC","TOT","RT","A","1996",2.739434969,
"KOR","AGRPNPC","TOT","RT","A","1997",2.646897843,
"KOR","AGRPNPC","TOT","RT","A","1998",2.244470445,
"KOR","AGRPNPC","TOT","RT","A","1999",2.817713345,
"KOR","AGRPNPC","TOT","RT","A","2000",2.913662689,
"KOR","AGRPNPC","TOT","RT","A","2001",2.281766188,
"KOR","AGRPNPC","TOT","RT","A","2002",2.376819516,
"KOR","AGRPNPC","TOT","RT","A","2003",2.191615866,
"KOR","AGRPNPC","TOT","RT","A","2004",2.477437952,
"KOR","AGRPNPC","TOT","RT","A","2005",2.299438239,
"KOR","AGRPNPC","TOT","RT","A","2006",2.279018346,
"KOR","AGRPNPC","TOT","RT","A","2007",2.183782863,
"KOR","AGRPNPC","TOT","RT","A","2008",1.803479656,
"KOR","AGRPNPC","TOT","RT","A","2009",2.023101921,
"KOR","AGRPNPC","TOT","RT","A","2010",1.782935499,
"KOR","AGRPNPC","TOT","RT","A","2011",2.065082496,
"KOR","AGRPNPC","TOT","RT","A","2012",2.04137822,
"KOR","AGRPNPC","TOT","RT","A","2013",2.027575162,
"KOR","AGRPNPC","TOT","RT","A","2014",1.909856421,
"KOR","AGRPNPC","TOT","RT","A","2015",1.990891651,
"KOR","AGRPNPC","TOT","RT","A","2016",1.853624784,
"KOR","AGRPNPC","TOT","RT","A","2017",1.941519451,
"KOR","AGRPNPC","TOT","RT","A","2018",2.117720092,
"MEX","AGRPNPC","TOT","RT","A","1991",1.303339496,
"MEX","AGRPNPC","TOT","RT","A","1992",1.357365258,
"MEX","AGRPNPC","TOT","RT","A","1993",1.361567719,
"MEX","AGRPNPC","TOT","RT","A","1994",1.180354219,
"MEX","AGRPNPC","TOT","RT","A","1995",0.916589154,
"MEX","AGRPNPC","TOT","RT","A","1996",0.988620261,
"MEX","AGRPNPC","TOT","RT","A","1997",1.110562166,
"MEX","AGRPNPC","TOT","RT","A","1998",1.162147948,
"MEX","AGRPNPC","TOT","RT","A","1999",1.174984398,
"MEX","AGRPNPC","TOT","RT","A","2000",1.243544643,
"MEX","AGRPNPC","TOT","RT","A","2001",1.153641194,
"MEX","AGRPNPC","TOT","RT","A","2002",1.298133637,
"MEX","AGRPNPC","TOT","RT","A","2003",1.140915169,
"MEX","AGRPNPC","TOT","RT","A","2004",1.062029525,
"MEX","AGRPNPC","TOT","RT","A","2005",1.064356146,
"MEX","AGRPNPC","TOT","RT","A","2006",1.059625547,
"MEX","AGRPNPC","TOT","RT","A","2007",1.053889106,
"MEX","AGRPNPC","TOT","RT","A","2008",1.036601481,
"MEX","AGRPNPC","TOT","RT","A","2009",1.041096392,
"MEX","AGRPNPC","TOT","RT","A","2010",1.042371498,
"MEX","AGRPNPC","TOT","RT","A","2011",1.034051676,
"MEX","AGRPNPC","TOT","RT","A","2012",1.045984588,
"MEX","AGRPNPC","TOT","RT","A","2013",1.030798994,
"MEX","AGRPNPC","TOT","RT","A","2014",1.017552555,
"MEX","AGRPNPC","TOT","RT","A","2015",1.033224128,
"MEX","AGRPNPC","TOT","RT","A","2016",1.014823379,
"MEX","AGRPNPC","TOT","RT","A","2017",1.028382637,
"MEX","AGRPNPC","TOT","RT","A","2018",1.031881172,
"NZL","AGRPNPC","TOT","RT","A","1986",1.022665385,
"NZL","AGRPNPC","TOT","RT","A","1987",1.018455228,
"NZL","AGRPNPC","TOT","RT","A","1988",1.010129282,
"NZL","AGRPNPC","TOT","RT","A","1989",1.008665897,
"NZL","AGRPNPC","TOT","RT","A","1990",1.009218976,
"NZL","AGRPNPC","TOT","RT","A","1991",1.009623411,
"NZL","AGRPNPC","TOT","RT","A","1992",1.005699174,
"NZL","AGRPNPC","TOT","RT","A","1993",1.003892708,
"NZL","AGRPNPC","TOT","RT","A","1994",1.006861151,
"NZL","AGRPNPC","TOT","RT","A","1995",1.009539158,
"NZL","AGRPNPC","TOT","RT","A","1996",1.004945193,
"NZL","AGRPNPC","TOT","RT","A","1997",1.005721483,
"NZL","AGRPNPC","TOT","RT","A","1998",1.004761791,
"NZL","AGRPNPC","TOT","RT","A","1999",1.00444593,
"NZL","AGRPNPC","TOT","RT","A","2000",1.000439576,
"NZL","AGRPNPC","TOT","RT","A","2001",1.002996503,
"NZL","AGRPNPC","TOT","RT","A","2002",1.00512755,
"NZL","AGRPNPC","TOT","RT","A","2003",1.008451908,
"NZL","AGRPNPC","TOT","RT","A","2004",1.006219877,
"NZL","AGRPNPC","TOT","RT","A","2005",1.01049274,
"NZL","AGRPNPC","TOT","RT","A","2006",1.008486876,
"NZL","AGRPNPC","TOT","RT","A","2007",1.006642851,
"NZL","AGRPNPC","TOT","RT","A","2008",1.004161291,
"NZL","AGRPNPC","TOT","RT","A","2009",1.002203673,
"NZL","AGRPNPC","TOT","RT","A","2010",1.005856432,
"NZL","AGRPNPC","TOT","RT","A","2011",1.008388294,
"NZL","AGRPNPC","TOT","RT","A","2012",1.00589901,
"NZL","AGRPNPC","TOT","RT","A","2013",1.003323299,
"NZL","AGRPNPC","TOT","RT","A","2014",1.003753592,
"NZL","AGRPNPC","TOT","RT","A","2015",1.004170089,
"NZL","AGRPNPC","TOT","RT","A","2016",1.008101552,
"NZL","AGRPNPC","TOT","RT","A","2017",1.007419265,
"NZL","AGRPNPC","TOT","RT","A","2018",1.003651591,
"NOR","AGRPNPC","TOT","RT","A","1986",4.167265229,
"NOR","AGRPNPC","TOT","RT","A","1987",4.338672997,
"NOR","AGRPNPC","TOT","RT","A","1988",3.738922174,
"NOR","AGRPNPC","TOT","RT","A","1989",3.090922705,
"NOR","AGRPNPC","TOT","RT","A","1990",3.989542845,
"NOR","AGRPNPC","TOT","RT","A","1991",4.174934226,
"NOR","AGRPNPC","TOT","RT","A","1992",3.519265686,
"NOR","AGRPNPC","TOT","RT","A","1993",3.307387311,
"NOR","AGRPNPC","TOT","RT","A","1994",3.161318196,
"NOR","AGRPNPC","TOT","RT","A","1995",2.429566666,
"NOR","AGRPNPC","TOT","RT","A","1996",2.455509921,
"NOR","AGRPNPC","TOT","RT","A","1997",2.6255107,
"NOR","AGRPNPC","TOT","RT","A","1998",3.162900067,
"NOR","AGRPNPC","TOT","RT","A","1999",3.240076912,
"NOR","AGRPNPC","TOT","RT","A","2000",2.463445458,
"NOR","AGRPNPC","TOT","RT","A","2001",2.277830677,
"NOR","AGRPNPC","TOT","RT","A","2002",3.134197164,
"NOR","AGRPNPC","TOT","RT","A","2003",2.632785496,
"NOR","AGRPNPC","TOT","RT","A","2004",2.258583019,
"NOR","AGRPNPC","TOT","RT","A","2005",2.287775646,
"NOR","AGRPNPC","TOT","RT","A","2006",2.104141959,
"NOR","AGRPNPC","TOT","RT","A","2007",1.569783824,
"NOR","AGRPNPC","TOT","RT","A","2008",1.749782102,
"NOR","AGRPNPC","TOT","RT","A","2009",1.927839525,
"NOR","AGRPNPC","TOT","RT","A","2010",1.870516957,
"NOR","AGRPNPC","TOT","RT","A","2011",1.73874887,
"NOR","AGRPNPC","TOT","RT","A","2012",1.741542465,
"NOR","AGRPNPC","TOT","RT","A","2013",1.697256068,
"NOR","AGRPNPC","TOT","RT","A","2014",1.832470437,
"NOR","AGRPNPC","TOT","RT","A","2015",1.895339915,
"NOR","AGRPNPC","TOT","RT","A","2016",1.997098366,
"NOR","AGRPNPC","TOT","RT","A","2017",1.987576587,
"NOR","AGRPNPC","TOT","RT","A","2018",1.998500855,
"CHE","AGRPNPC","TOT","RT","A","1986",3.873962437,
"CHE","AGRPNPC","TOT","RT","A","1987",4.24249099,
"CHE","AGRPNPC","TOT","RT","A","1988",4.547283136,
"CHE","AGRPNPC","TOT","RT","A","1989",2.772490001,
"CHE","AGRPNPC","TOT","RT","A","1990",3.56466481,
"CHE","AGRPNPC","TOT","RT","A","1991",3.738375075,
"CHE","AGRPNPC","TOT","RT","A","1992",2.652363611,
"CHE","AGRPNPC","TOT","RT","A","1993",3.2294609,
"CHE","AGRPNPC","TOT","RT","A","1994",3.362720241,
"CHE","AGRPNPC","TOT","RT","A","1995",2.556908197,
"CHE","AGRPNPC","TOT","RT","A","1996",2.775616188,
"CHE","AGRPNPC","TOT","RT","A","1997",2.746570502,
"CHE","AGRPNPC","TOT","RT","A","1998",3.082110681,
"CHE","AGRPNPC","TOT","RT","A","1999",3.177774071,
"CHE","AGRPNPC","TOT","RT","A","2000",2.616378461,
"CHE","AGRPNPC","TOT","RT","A","2001",2.245519925,
"CHE","AGRPNPC","TOT","RT","A","2002",2.513478943,
"CHE","AGRPNPC","TOT","RT","A","2003",2.332174196,
"CHE","AGRPNPC","TOT","RT","A","2004",2.363463239,
"CHE","AGRPNPC","TOT","RT","A","2005",2.138944257,
"CHE","AGRPNPC","TOT","RT","A","2006",2.027817589,
"CHE","AGRPNPC","TOT","RT","A","2007",1.487567642,
"CHE","AGRPNPC","TOT","RT","A","2008",1.629138958,
"CHE","AGRPNPC","TOT","RT","A","2009",1.70854259,
"CHE","AGRPNPC","TOT","RT","A","2010",1.415632181,
"CHE","AGRPNPC","TOT","RT","A","2011",1.447345862,
"CHE","AGRPNPC","TOT","RT","A","2012",1.413718633,
"CHE","AGRPNPC","TOT","RT","A","2013",1.351779424,
"CHE","AGRPNPC","TOT","RT","A","2014",1.590545919,
"CHE","AGRPNPC","TOT","RT","A","2015",1.699739571,
"CHE","AGRPNPC","TOT","RT","A","2016",1.720758724,
"CHE","AGRPNPC","TOT","RT","A","2017",1.48495718,
"CHE","AGRPNPC","TOT","RT","A","2018",1.531824702,
"TUR","AGRPNPC","TOT","RT","A","1986",1.17546236,
"TUR","AGRPNPC","TOT","RT","A","1987",1.262660888,
"TUR","AGRPNPC","TOT","RT","A","1988",1.24601353,
"TUR","AGRPNPC","TOT","RT","A","1989",1.2206067,
"TUR","AGRPNPC","TOT","RT","A","1990",1.299552494,
"TUR","AGRPNPC","TOT","RT","A","1991",1.528551471,
"TUR","AGRPNPC","TOT","RT","A","1992",1.4880868,
"TUR","AGRPNPC","TOT","RT","A","1993",1.353126294,
"TUR","AGRPNPC","TOT","RT","A","1994",1.278575568,
"TUR","AGRPNPC","TOT","RT","A","1995",1.273328446,
"TUR","AGRPNPC","TOT","RT","A","1996",1.239352357,
"TUR","AGRPNPC","TOT","RT","A","1997",1.353032775,
"TUR","AGRPNPC","TOT","RT","A","1998",1.45852349,
"TUR","AGRPNPC","TOT","RT","A","1999",1.485738333,
"TUR","AGRPNPC","TOT","RT","A","2000",1.44443064,
"TUR","AGRPNPC","TOT","RT","A","2001",1.179201742,
"TUR","AGRPNPC","TOT","RT","A","2002",1.27408641,
"TUR","AGRPNPC","TOT","RT","A","2003",1.390979997,
"TUR","AGRPNPC","TOT","RT","A","2004",1.379495783,
"TUR","AGRPNPC","TOT","RT","A","2005",1.354664266,
"TUR","AGRPNPC","TOT","RT","A","2006",1.389624885,
"TUR","AGRPNPC","TOT","RT","A","2007",1.270924545,
"TUR","AGRPNPC","TOT","RT","A","2008",1.324121467,
"TUR","AGRPNPC","TOT","RT","A","2009",1.335434785,
"TUR","AGRPNPC","TOT","RT","A","2010",1.377153757,
"TUR","AGRPNPC","TOT","RT","A","2011",1.26704628,
"TUR","AGRPNPC","TOT","RT","A","2012",1.226362201,
"TUR","AGRPNPC","TOT","RT","A","2013",1.217620843,
"TUR","AGRPNPC","TOT","RT","A","2014",1.298052757,
"TUR","AGRPNPC","TOT","RT","A","2015",1.235386078,
"TUR","AGRPNPC","TOT","RT","A","2016",1.252586762,
"TUR","AGRPNPC","TOT","RT","A","2017",1.189197082,
"TUR","AGRPNPC","TOT","RT","A","2018",1.123961692,
"USA","AGRPNPC","TOT","RT","A","1986",1.139201341,
"USA","AGRPNPC","TOT","RT","A","1987",1.135713507,
"USA","AGRPNPC","TOT","RT","A","1988",1.085442412,
"USA","AGRPNPC","TOT","RT","A","1989",1.137429359,
"USA","AGRPNPC","TOT","RT","A","1990",1.087800695,
"USA","AGRPNPC","TOT","RT","A","1991",1.096940264,
"USA","AGRPNPC","TOT","RT","A","1992",1.093480097,
"USA","AGRPNPC","TOT","RT","A","1993",1.102851543,
"USA","AGRPNPC","TOT","RT","A","1994",1.077689004,
"USA","AGRPNPC","TOT","RT","A","1995",1.045665868,
"USA","AGRPNPC","TOT","RT","A","1996",1.066967099,
"USA","AGRPNPC","TOT","RT","A","1997",1.06768789,
"USA","AGRPNPC","TOT","RT","A","1998",1.136007656,
"USA","AGRPNPC","TOT","RT","A","1999",1.1792551,
"USA","AGRPNPC","TOT","RT","A","2000",1.148702214,
"USA","AGRPNPC","TOT","RT","A","2001",1.141287542,
"USA","AGRPNPC","TOT","RT","A","2002",1.08453767,
"USA","AGRPNPC","TOT","RT","A","2003",1.059583687,
"USA","AGRPNPC","TOT","RT","A","2004",1.078771656,
"USA","AGRPNPC","TOT","RT","A","2005",1.063903535,
"USA","AGRPNPC","TOT","RT","A","2006",1.0269161,
"USA","AGRPNPC","TOT","RT","A","2007",1.04120076,
"USA","AGRPNPC","TOT","RT","A","2008",1.006706037,
"USA","AGRPNPC","TOT","RT","A","2009",1.016333167,
"USA","AGRPNPC","TOT","RT","A","2010",1.022778038,
"USA","AGRPNPC","TOT","RT","A","2011",1.011928643,
"USA","AGRPNPC","TOT","RT","A","2012",1.018415896,
"USA","AGRPNPC","TOT","RT","A","2013",1.008731885,
"USA","AGRPNPC","TOT","RT","A","2014",1.02465837,
"USA","AGRPNPC","TOT","RT","A","2015",1.0283324,
"USA","AGRPNPC","TOT","RT","A","2016",1.030471152,
"USA","AGRPNPC","TOT","RT","A","2017",1.032324055,
"USA","AGRPNPC","TOT","RT","A","2018",1.068371953,
"BRA","AGRPNPC","TOT","RT","A","1995",0.824964525,
"BRA","AGRPNPC","TOT","RT","A","1996",0.803707919,
"BRA","AGRPNPC","TOT","RT","A","1997",0.82978524,
"BRA","AGRPNPC","TOT","RT","A","1998",0.891257948,
"BRA","AGRPNPC","TOT","RT","A","1999",0.836319377,
"BRA","AGRPNPC","TOT","RT","A","2000",1.037076775,
"BRA","AGRPNPC","TOT","RT","A","2001",1.003190851,
"BRA","AGRPNPC","TOT","RT","A","2002",1.005887406,
"BRA","AGRPNPC","TOT","RT","A","2003",1.019813382,
"BRA","AGRPNPC","TOT","RT","A","2004",1.012846449,
"BRA","AGRPNPC","TOT","RT","A","2005",1.042221194,
"BRA","AGRPNPC","TOT","RT","A","2006",1.027790824,
"BRA","AGRPNPC","TOT","RT","A","2007",1.038559694,
"BRA","AGRPNPC","TOT","RT","A","2008",1.017231294,
"BRA","AGRPNPC","TOT","RT","A","2009",1.074208372,
